id,title,genres,averageRating,numVotes,releaseYear
tt9140342,"It's a Sin",Drama,8.6,38298,2021
tt11854694,"Special OPS","Crime, Thriller",8.6,38282,2020
tt12451520,"It's Okay to Not Be Okay","Comedy, Drama, Romance",8.6,38002,2020
tt0053488,"The Bugs Bunny Show","Animation, Comedy",8.6,36373,1960
tt0417349,"North & South","Drama, Romance",8.6,35820,2004
tt2701582,Endeavour,"Crime, Drama, Mystery",8.6,34838,2012
tt0380136,QI,"Comedy, Game-Show",8.6,34295,2003
tt7562112,Pose,Drama,8.6,34114,2018
tt1983079,"Call the Midwife","Drama, History",8.6,32637,2012
tt4647692,Letterkenny,Comedy,8.6,31166,2016
tt5994364,"Guardian: The Lonely and Great God","Comedy, Drama, Fantasy",8.6,30671,2016
tt20869502,"Extraordinary Attorney Woo",Drama,8.6,30051,2022
tt0417373,"The Venture Bros.","Action, Adventure, Animation",8.6,28818,2003
tt4156586,"Permanent Roommates","Comedy, Romance",8.6,26536,2014
tt0094517,"Mystery Science Theater 3000","Comedy, Sci-Fi",8.6,26510,1988
tt2433738,Wentworth,"Crime, Drama, Thriller",8.6,25488,2013
tt21056886,"Scavengers Reign","Adventure, Animation, Drama",8.6,25077,2023
tt4082744,Detectorists,Comedy,8.6,22681,2014
tt2244495,"The Eric Andre Show","Comedy, Talk-Show",8.6,22594,2012
tt0129690,"I'm Alan Partridge",Comedy,8.6,22556,1997
tt0421291,"Avrupa Yakasi",Comedy,8.6,22056,2004
tt2311418,"Isler Güçler",Comedy,8.6,21506,2012
tt8050756,"The Owl House","Action, Adventure, Animation",8.6,21352,2020
tt7278862,"My Brilliant Friend",Drama,8.6,19938,2018
tt0310455,"Foyle's War","Crime, Drama, Mystery",8.6,19011,2002
tt1513168,"Through the Wormhole",Documentary,8.6,18742,2010
tt10590066,"All Creatures Great & Small","Comedy, Drama",8.6,18409,2020
tt9814458,"Bandish Bandits","Drama, Music, Romance",8.6,17927,2020
tt3671754,"Kardes Payi",Comedy,8.6,17472,2014
tt0080306,"Yes Minister",Comedy,8.6,17329,1980
tt8317568,"Broken But Beautiful","Drama, Romance",8.6,17239,2018
tt0203082,"Rurouni Kenshin: Trust and Betrayal","Action, Adventure, Animation",8.6,16739,1999
tt17513352,"Twenty Five Twenty One","Drama, Romance",8.6,15766,2022
tt0403778,"Long Way Round","Adventure, Documentary",8.6,15750,2004
tt15614372,"Tear Along the Dotted Line","Animation, Comedy, Drama",8.6,15268,2021
tt6385540,Hilda,"Adventure, Animation, Drama",8.6,14603,2018
tt0120570,"From the Earth to the Moon","Action, Drama, History",8.6,13580,1998
tt0086831,"Yes, Prime Minister",Comedy,8.6,13482,1986
tt1877368,"The Great British Baking Show","Game-Show, Reality-TV",8.6,13474,2010
tt13634792,Mouse,"Action, Crime, Mystery",8.6,12715,2021
tt5320412,"Moon Lovers: Scarlet Heart Ryeo","Action, Drama, Fantasy",8.6,12428,2016
tt13400006,"Mr. Queen","Comedy, Fantasy, Romance",8.6,11964,2020
tt0118273,"Brass Eye",Comedy,8.6,11858,1997
